,Number_of_Children,Number_of_Children_Spouse,Sex,Age,Age_at_Marriage,Age_of_Spouse,Age_at_Marriage_Spouse,Age_Difference,Number_of_Roles,Spouse_is_Celebrity,Distance,Divorced
1352,1.0,1.0,0,85.0,32.0,74.0,32.0,0.0,2,0,2624.743916212221,0
1353,1.0,1.0,0,29.0,25.0,37.0,33.0,8.0,1,0,10288.84439919428,0
1354,2.0,2.0,0,92.0,31.0,78.0,48.0,17.0,2,1,796.935144500921,0
1355,,,0,85.0,23.0,,,,2,0,,1
1356,1.0,,0,31.0,22.0,,,,1,0,,0
1357,,2.0,0,80.0,22.0,71.0,45.0,23.0,1,1,2088.2341321869176,0
1358,5.0,3.0,0,84.0,19.0,64.0,42.0,23.0,2,1,,1
1359,1.0,1.0,0,78.0,43.0,73.0,68.0,25.0,2,0,6923.9104908298,0
1360,2.0,,0,84.0,30.0,,,,3,0,,0
1361,,,0,,,,,,2,0,,0
1362,2.0,,0,66.0,27.0,79.0,40.0,13.0,1,0,6989.952600365444,1
1363,1.0,,0,41.0,,43.0,,2.0,1,0,,1
1364,,,0,38.0,31.0,,,,3,0,,0
1365,2.0,2.0,0,43.0,29.0,47.0,33.0,4.0,2,1,12220.567014659087,0
1366,1.0,1.0,0,92.0,24.0,84.0,25.0,1.0,2,1,6295.770421770053,0
1367,5.0,7.0,0,95.0,27.0,91.0,27.0,0.0,3,1,1436.6256199453344,1
1368,,6.0,0,43.0,21.0,74.0,27.0,6.0,1,1,3352.9457255883567,0
1369,1.0,1.0,0,81.0,24.0,74.0,28.0,4.0,2,1,3940.9877873086575,1
1370,1.0,,0,88.0,24.0,,,,1,0,,0
1371,,,0,57.0,56.0,,,,1,0,,1
1372,2.0,,0,87.0,19.0,,,,1,0,,1
1373,4.0,7.0,0,61.0,23.0,63.0,25.0,2.0,2,0,44.27001812836789,1
1374,2.0,,0,54.0,28.0,,,,2,0,,1
1375,,,0,86.0,25.0,,,,2,0,,1
1376,,2.0,0,93.0,24.0,74.0,24.0,0.0,2,1,3962.77163100815,1
1377,4.0,5.0,0,93.0,20.0,65.0,20.0,0.0,2,1,5579.502546950907,1
1378,6.0,,0,65.0,27.0,63.0,25.0,2.0,4,1,3154.7468832446025,1
1379,,,0,37.0,32.0,,,,2,0,,0
1380,,,0,77.0,45.0,72.0,60.0,15.0,2,0,15.655950091610904,0
1381,,,0,33.0,25.0,,,,1,0,,0
1382,,,0,44.0,22.0,,,,3,0,,1
1383,,,0,55.0,19.0,,,,2,0,,1
1384,2.0,,0,92.0,19.0,88.0,31.0,12.0,2,0,648.6697873546115,1
1385,1.0,,0,85.0,28.0,,,,1,0,,0
1386,,,0,76.0,33.0,,,,1,0,,1
1387,3.0,,0,42.0,28.0,,,,2,0,,1
1388,1.0,,0,81.0,23.0,,,,2,0,,1
1389,,,0,84.0,51.0,,,,2,0,,0
1390,,,0,39.0,25.0,,,,1,0,,1
1391,,,0,79.0,30.0,,,,2,0,,0
1392,1.0,1.0,0,51.0,30.0,88.0,38.0,8.0,2,1,507.2749834702798,0
1393,,,0,65.0,24.0,,,,3,0,,1
1394,2.0,,0,64.0,20.0,,,,1,0,,1
1395,1.0,,0,90.0,44.0,,,,3,0,,1
1396,,,0,67.0,19.0,57.0,23.0,4.0,3,1,0.0,0
1397,1.0,,0,60.0,20.0,,,,2,0,,1
1398,5.0,,0,79.0,21.0,,,,2,0,,1
1399,2.0,,0,73.0,16.0,,,,2,0,,1
1400,1.0,,0,,,,,,1,0,,0
1401,,1.0,0,64.0,43.0,82.0,48.0,5.0,2,1,1759.85993296751,0
1402,,,0,86.0,25.0,93.0,24.0,1.0,2,0,6510.987484287381,1
1403,,2.0,0,69.0,39.0,69.0,44.0,5.0,1,1,203.2721438305993,0
1404,2.0,,0,71.0,31.0,,,,3,0,,1
1405,1.0,,0,98.0,32.0,,,,2,0,,1
1406,,,0,73.0,32.0,,,,1,0,,0
1407,,,0,89.0,25.0,,,,1,0,,0
1408,1.0,1.0,0,70.0,31.0,90.0,27.0,4.0,2,1,525.8740322804847,1
1409,3.0,,0,92.0,20.0,,,,2,0,,1
1410,,,0,,,,,,1,0,,0
1411,2.0,2.0,0,,,46.0,34.0,,2,0,1200.314577324555,0
1412,1.0,1.0,0,40.0,32.0,41.0,33.0,1.0,2,0,4423.578244541849,0
1413,1.0,,0,89.0,28.0,,,,1,0,,0
1414,1.0,,0,71.0,21.0,,,,2,0,,1
1415,,,0,63.0,20.0,,,,2,0,,1
1416,3.0,,0,67.0,33.0,,,,2,0,,1
1417,3.0,,0,55.0,31.0,,,,4,0,,1
1418,1.0,2.0,0,90.0,24.0,88.0,22.0,2.0,2,1,327.5814620902349,1
1419,,1.0,0,84.0,18.0,77.0,27.0,9.0,2,1,822.3278772231632,1
1420,,,0,80.0,37.0,,,,2,0,348.44994732532814,1
1421,,,0,78.0,35.0,,,,2,0,,1
1422,4.0,,0,50.0,25.0,,,,1,0,,0
1423,,,0,80.0,23.0,,,,2,0,,1
1424,3.0,,0,40.0,26.0,,,,1,0,,0
1425,,,0,89.0,35.0,81.0,23.0,12.0,1,1,1745.8047285218877,0
1426,3.0,,0,45.0,35.0,,,,2,0,,0
1427,,,0,24.0,21.0,,,,2,0,,0
1428,3.0,,0,75.0,48.0,,,,2,0,,0
1429,1.0,,0,61.0,30.0,,,,2,0,,1
1430,1.0,,0,93.0,56.0,,,,2,0,,0
1431,3.0,3.0,0,39.0,24.0,44.0,29.0,5.0,3,0,1437.7348660955818,1
1432,3.0,3.0,0,43.0,22.0,50.0,29.0,7.0,3,1,1576.352260914088,1
1433,,,0,35.0,30.0,,,,1,1,,1
1434,,,0,60.0,18.0,,,,1,0,,1
1435,,,0,47.0,23.0,,,,1,0,,1
1436,5.0,,0,86.0,18.0,,,,1,0,,0
1437,2.0,,0,33.0,26.0,,,,1,0,,1
1438,3.0,3.0,0,86.0,17.0,81.0,24.0,7.0,2,1,2825.928366179954,1
1439,2.0,,0,81.0,23.0,83.0,33.0,10.0,2,1,932.3763326074718,1
1440,1.0,,0,37.0,30.0,,,,1,0,,0
1441,2.0,,0,46.0,31.0,,,,2,0,,1
1442,,,0,36.0,32.0,,,,1,0,,0
1443,,,0,99.0,23.0,,,,2,0,,1
1444,2.0,,0,85.0,25.0,,,,2,0,,1
1445,1.0,,0,60.0,20.0,,,,2,0,,1
1446,2.0,,0,75.0,17.0,,,,2,0,,1
1447,,,0,67.0,31.0,,,,1,0,,1
1448,,,0,60.0,19.0,,,,1,0,,1
1449,3.0,,0,104.0,69.0,,,,1,0,,0
1450,2.0,,0,37.0,30.0,,,,3,0,,0
1451,1.0,1.0,0,,,51.0,42.0,,3,0,,0
1452,2.0,2.0,0,60.0,28.0,35.0,23.0,5.0,1,0,,0
1453,3.0,,0,41.0,32.0,,,,2,0,,0
1454,,,0,75.0,24.0,74.0,32.0,8.0,1,0,2131.27497919179,1
1455,,1.0,0,93.0,28.0,65.0,29.0,1.0,2,1,0.0,1
1456,2.0,,0,64.0,31.0,,,,2,0,,1
1457,,,0,66.0,27.0,,,,2,0,,0
1458,2.0,2.0,0,,,55.0,34.0,,2,0,0.0,0
1459,1.0,,0,77.0,40.0,,,,2,0,,1
1460,,,0,52.0,18.0,,,,2,0,,1
1461,1.0,,0,50.0,37.0,,,,2,0,,0
1462,,,0,87.0,32.0,,,,1,0,,1
1463,2.0,2.0,0,46.0,28.0,50.0,32.0,4.0,2,0,10684.297331180544,0
1464,2.0,5.0,0,47.0,40.0,61.0,54.0,14.0,1,0,15997.068270185238,0
1465,,2.0,0,,,33.0,27.0,,2,0,5310.997365969268,0
1466,,,0,47.0,30.0,,,,3,0,,1
1467,2.0,2.0,0,37.0,31.0,43.0,37.0,6.0,1,1,16874.025286638236,0
1468,,,0,61.0,34.0,,,,2,0,,0
1469,2.0,,0,42.0,28.0,,,,3,0,,0
1470,1.0,,0,86.0,18.0,,,,1,0,,1
1471,,4.0,0,98.0,24.0,61.0,27.0,3.0,1,1,1933.9404731338575,1
1472,,,0,72.0,28.0,74.0,30.0,2.0,2,1,114.47911424145508,1
1473,1.0,,0,79.0,34.0,,,,1,0,,1
1474,,,0,41.0,26.0,,,,1,0,,1
1475,1.0,,0,,,,,,2,0,,1
1476,,,0,71.0,21.0,55.0,27.0,6.0,2,1,276.63150254950364,0
1477,,,0,44.0,17.0,,,,1,0,,0
1478,,,0,33.0,28.0,,,,2,0,,1
1479,3.0,,0,49.0,25.0,,,,2,0,,1
1480,,,0,28.0,23.0,,,,2,0,,0
1481,,,0,28.0,24.0,,,,2,0,,0
1482,,,0,46.0,38.0,,,,2,0,,0
1483,2.0,,0,46.0,24.0,,,,3,0,,0
1484,1.0,,0,44.0,28.0,,,,2,0,,1
1485,2.0,,0,88.0,22.0,82.0,26.0,4.0,1,1,0.0,1
1486,1.0,1.0,0,42.0,34.0,40.0,32.0,2.0,2,1,589.5877056922926,0
1487,4.0,4.0,0,83.0,23.0,62.0,31.0,8.0,1,0,149.29312075240455,0
1488,1.0,,0,57.0,24.0,,,,1,0,,1
1489,,,0,59.0,23.0,,,,1,0,,0
1490,4.0,,0,38.0,22.0,,,,2,0,,1
1491,,,0,72.0,32.0,77.0,37.0,5.0,1,0,1507.184784675576,0
1492,2.0,,0,,,,,,1,0,,0
1493,,,0,29.0,24.0,36.0,31.0,7.0,1,0,988.5554919038392,1
1494,3.0,,0,95.0,19.0,79.0,23.0,4.0,1,0,0.0,1
1495,,,0,62.0,27.0,,,,3,0,,0
1496,3.0,,0,35.0,22.0,,,,1,0,,0
1497,3.0,,0,84.0,24.0,,,,1,0,,1
1498,1.0,1.0,0,47.0,29.0,53.0,35.0,6.0,1,1,3255.968636615303,0
1499,1.0,1.0,0,37.0,32.0,35.0,30.0,2.0,2,0,5588.91873625362,0
1500,2.0,,0,43.0,30.0,,,,2,0,,0
1501,,,0,47.0,38.0,,,,2,0,,0
1502,2.0,2.0,0,35.0,32.0,37.0,34.0,2.0,2,0,864.6333375547688,0
1503,,,0,65.0,37.0,,,,1,0,,0
1504,,1.0,0,56.0,37.0,,,,1,0,,1
1505,2.0,,0,34.0,30.0,,,,2,0,,0
1506,2.0,,0,41.0,19.0,,,,1,0,,1
1507,1.0,,0,59.0,34.0,,,,2,0,,1
1508,,1.0,0,70.0,34.0,54.0,32.0,2.0,2,1,172.42720669658885,1
1509,,,0,100.0,19.0,84.0,28.0,9.0,2,0,738.6074697253317,0
1510,1.0,,0,64.0,21.0,,,,2,0,,1
1511,1.0,,0,37.0,35.0,28.0,26.0,9.0,2,1,209.39578036054007,0
1512,1.0,,0,24.0,22.0,,,,1,0,,0
1513,,,0,40.0,31.0,,,,1,0,,0
1514,,,0,75.0,25.0,,,,1,0,,0
1515,,,0,73.0,70.0,,,,1,0,,0
1516,,,0,92.0,47.0,,,,1,0,,0
1517,1.0,,0,81.0,17.0,,,,1,0,,1
1518,,,0,83.0,25.0,72.0,34.0,9.0,2,1,2160.33169662958,1
1519,2.0,,0,91.0,19.0,,,,2,0,,1
1520,1.0,,0,79.0,27.0,,,,1,0,,0
1521,,,0,82.0,27.0,77.0,33.0,6.0,1,0,1823.8194775175984,0
1522,,,0,101.0,42.0,,,,3,0,,1
1523,1.0,1.0,0,91.0,27.0,82.0,58.0,31.0,2,0,2934.217578155104,0
1524,1.0,1.0,0,50.0,25.0,56.0,31.0,6.0,2,1,120.70330670006696,1
1525,,,0,,,,,,2,0,,0
1526,,,0,37.0,26.0,42.0,31.0,5.0,2,1,1471.4903001257503,1
1527,,,0,85.0,21.0,96.0,25.0,4.0,2,0,7324.179992007362,1
1528,1.0,,0,47.0,35.0,,,,1,0,,0
1529,2.0,2.0,0,,,44.0,23.0,,2,0,0.0,0
1530,,,0,40.0,33.0,38.0,31.0,2.0,1,0,,0
1531,,,0,,,,,,2,0,,1
1532,1.0,,0,,,,,,2,0,,0
1533,,2.0,0,61.0,32.0,61.0,32.0,0.0,2,0,0.0,1
1534,2.0,,0,102.0,30.0,,,,2,0,,0
1535,1.0,,0,73.0,19.0,54.0,35.0,16.0,2,0,766.3483223785972,0
1536,1.0,,0,75.0,16.0,,,,1,0,,1
1537,,,0,94.0,33.0,,,,1,0,,0
1538,,,0,77.0,,,,,2,0,,1
1539,,,0,25.0,22.0,,,,1,0,,0
1540,,,0,40.0,16.0,,,,1,0,,1
1541,1.0,,0,64.0,30.0,,,,2,0,,0
1542,1.0,,0,46.0,20.0,,,,2,0,,1
1543,,,0,44.0,28.0,,,,1,0,,1
1544,3.0,,0,41.0,34.0,,,,3,0,,0
1545,1.0,,0,49.0,38.0,,,,1,0,,0
1546,2.0,,0,43.0,37.0,,,,1,0,,0
1547,1.0,,0,62.0,16.0,,,,1,0,,1
1548,,,0,80.0,20.0,,,,2,0,,0
1549,,,0,79.0,17.0,,,,2,0,,1
1550,,3.0,0,36.0,25.0,80.0,29.0,4.0,3,1,10480.062282010364,1
1551,,,0,87.0,18.0,,,,2,0,,1
1552,3.0,,0,99.0,28.0,,,,1,0,,0
1553,1.0,1.0,0,41.0,21.0,45.0,25.0,4.0,1,0,1388.7549117296278,0
1554,1.0,,0,33.0,25.0,,,,1,0,,0
1555,1.0,,0,46.0,31.0,,,,3,0,,0
1556,1.0,1.0,0,37.0,27.0,41.0,31.0,4.0,1,0,,1
1557,1.0,1.0,0,100.0,19.0,73.0,27.0,8.0,2,1,9010.669356708104,1
1558,1.0,,0,42.0,22.0,,,,1,0,,1
1559,,,0,33.0,24.0,,,,1,0,,0
1560,,,0,33.0,29.0,,,,2,0,,0
1561,2.0,,0,38.0,32.0,,,,2,0,,0
1562,1.0,,0,72.0,34.0,,,,2,0,,0
1563,2.0,,0,41.0,26.0,,,,3,0,,0
1564,1.0,,0,93.0,31.0,,,,2,0,,1
1565,2.0,,0,86.0,21.0,,,,2,0,,1
1566,,3.0,0,82.0,26.0,85.0,35.0,9.0,2,1,8345.424780081292,0
1567,,,0,84.0,,,,,1,0,,1
1568,2.0,2.0,0,95.0,28.0,82.0,31.0,3.0,4,0,81.80093305575672,0
1569,,,0,56.0,47.0,,,,2,0,,0
1570,3.0,,0,53.0,18.0,,,,2,0,,1
1571,1.0,,0,59.0,45.0,,,,1,0,,1
1572,,,0,41.0,18.0,,,,1,0,,1
1573,3.0,,1,50.0,26.0,,,,1,0,,0
1574,1.0,,1,74.0,45.0,,,,3,0,,0
1575,2.0,,1,53.0,30.0,,,,3,0,,0
1576,,,1,51.0,45.0,,,,1,0,,0
1577,4.0,,1,72.0,34.0,,,,3,0,,1
1578,,,1,29.0,28.0,,,,1,0,,0
1579,2.0,,1,88.0,34.0,,,,2,0,,0
1580,,,1,90.0,23.0,,,,1,0,,1
1581,,,1,37.0,30.0,,,,1,0,,0
1582,2.0,,1,44.0,35.0,,,,2,0,,0
1583,,,1,44.0,33.0,,,,1,0,,1
1584,3.0,3.0,1,85.0,27.0,90.0,27.0,0.0,3,0,2560.680363058024,1
1585,,,1,83.0,25.0,,,,2,0,,0
1586,3.0,3.0,1,40.0,31.0,35.0,25.0,6.0,2,1,1557.914070416405,0
1587,,,1,79.0,35.0,,,,2,0,,0
1588,7.0,1.0,1,54.0,23.0,49.0,29.0,6.0,1,1,315.8111731577321,1
1589,,,1,73.0,20.0,,,,1,0,,1
1590,2.0,2.0,1,48.0,39.0,50.0,41.0,2.0,2,0,2181.282195437888,0
1591,2.0,,1,87.0,23.0,,,,2,0,,0
1592,3.0,,1,43.0,34.0,,,,2,0,,0
1593,2.0,,1,61.0,28.0,,,,2,0,,1
1594,1.0,,1,41.0,22.0,,,,1,0,,1
1595,,,1,32.0,30.0,,,,2,0,,0
1596,4.0,1.0,1,64.0,21.0,75.0,19.0,2.0,3,0,4316.646298951709,1
1597,,,1,80.0,21.0,,,,3,0,,1
1598,4.0,4.0,1,87.0,22.0,82.0,29.0,7.0,1,0,,0
1599,1.0,,1,63.0,27.0,,,,2,0,,1
1600,1.0,1.0,1,88.0,38.0,51.0,30.0,8.0,2,1,507.2749834702798,0
1601,4.0,,1,72.0,19.0,,,,2,0,,1
1602,4.0,,1,65.0,33.0,,,,3,0,,1
1603,3.0,2.0,1,88.0,23.0,95.0,18.0,5.0,2,0,799.8368327938222,1
1604,,,1,81.0,67.0,,,,2,0,,0
1605,3.0,2.0,1,95.0,24.0,50.0,25.0,1.0,2,0,721.9536802559778,1
1606,2.0,,1,65.0,21.0,,,,2,0,,1
1607,7.0,,1,95.0,28.0,,,,2,0,,1
1608,1.0,1.0,1,61.0,29.0,57.0,25.0,4.0,1,1,2526.8677880785945,1
1609,,,1,,,35.0,30.0,,1,0,,1
1610,,,1,55.0,35.0,,,,2,0,,1
1611,6.0,2.0,1,45.0,26.0,42.0,23.0,3.0,2,0,2761.0133388040485,1
1612,1.0,,1,65.0,28.0,,,,1,0,,1
1613,2.0,,1,91.0,26.0,,,,3,0,,1
1614,,,1,69.0,19.0,48.0,16.0,3.0,2,1,0.0,1
1615,2.0,,1,48.0,29.0,45.0,26.0,3.0,2,0,561.531786995434,1
1616,2.0,,1,57.0,22.0,,,,2,0,,1
1617,1.0,1.0,1,84.0,25.0,92.0,24.0,1.0,2,0,6295.770421770053,0
1618,4.0,,1,100.0,30.0,,,,3,0,,1
1619,3.0,,1,66.0,18.0,,,,1,0,,0
1620,3.0,4.0,1,51.0,36.0,55.0,26.0,10.0,1,0,755.310820040969,1
1621,1.0,,1,72.0,31.0,,,,2,0,,0
1622,1.0,1.0,1,76.0,29.0,78.0,27.0,2.0,3,0,0.0,0
1623,4.0,,1,85.0,24.0,,,,2,0,,1
1624,3.0,1.0,1,84.0,29.0,86.0,18.0,11.0,2,1,508.6876948509824,1
1625,1.0,,1,34.0,24.0,,,,2,0,,1
1626,2.0,1.0,1,88.0,22.0,90.0,24.0,2.0,2,1,327.5814620902349,1
1627,2.0,,1,45.0,36.0,,,,2,0,,0
1628,7.0,,1,44.0,37.0,,,,1,0,,1
1629,3.0,,1,76.0,21.0,99.0,22.0,1.0,2,1,2907.501747178361,1
1630,2.0,1.0,1,79.0,21.0,43.0,20.0,1.0,1,0,613.3750995838552,1
1631,,,1,87.0,25.0,38.0,36.0,11.0,1,1,1204.3129734210747,0
1632,4.0,,1,78.0,19.0,,,,2,0,,1
1633,5.0,,1,66.0,21.0,,,,2,0,,0
1634,1.0,,1,54.0,46.0,,,,1,0,,0
1635,1.0,,1,77.0,27.0,84.0,18.0,9.0,1,1,822.3278772231632,1
1636,1.0,,1,58.0,38.0,50.0,23.0,15.0,2,1,1652.0237557879768,1
1637,1.0,,1,33.0,32.0,,,,2,0,,0
1638,,2.0,1,86.0,58.0,88.0,41.0,17.0,2,0,1154.786418468986,0
1639,,,1,84.0,66.0,,,,2,0,,0
1640,4.0,,1,52.0,31.0,,,,1,0,,1
1641,,,1,71.0,29.0,,,,2,0,,1
1642,1.0,1.0,1,41.0,33.0,40.0,32.0,1.0,2,1,4423.578244541849,0
1643,,,1,57.0,23.0,67.0,19.0,4.0,2,1,0.0,0
1644,2.0,3.0,1,89.0,22.0,84.0,18.0,4.0,2,0,8755.3228846049,1
1645,,,1,,,,,,1,0,,0
1646,1.0,2.0,1,43.0,29.0,43.0,29.0,0.0,2,1,1498.666593392183,1
1647,,,1,102.0,33.0,31.0,25.0,8.0,2,0,1567.0378045687655,0
1648,2.0,2.0,1,42.0,31.0,41.0,30.0,1.0,2,1,1426.088734978758,0
1649,3.0,3.0,1,69.0,37.0,58.0,29.0,8.0,2,1,7979.870096796719,0
1650,1.0,1.0,1,60.0,48.0,,,,1,1,4373.506105180308,0
1651,4.0,5.0,1,45.0,29.0,52.0,36.0,7.0,2,0,2370.622101501226,1
1652,2.0,,1,52.0,24.0,,,,2,0,,1
1653,5.0,,1,77.0,20.0,,,,2,0,,1
1654,,,1,80.0,26.0,,,,2,0,,1
1655,2.0,,1,65.0,41.0,,,,2,0,,0
1656,,,1,44.0,35.0,,,,4,0,,0
1657,,,1,44.0,33.0,41.0,30.0,3.0,1,0,0.0,0
1658,1.0,,1,44.0,40.0,,,,4,0,,0
1659,,,1,58.0,25.0,,,,1,0,,1
1660,1.0,,1,41.0,23.0,,,,1,0,,0
1661,,,1,38.0,33.0,,,,1,0,,0
1662,3.0,,1,92.0,28.0,,,,1,0,,0
1663,,,1,55.0,27.0,71.0,21.0,6.0,1,0,276.63150254950364,0
1664,3.0,,1,50.0,30.0,,,,4,0,,0
1665,1.0,,1,79.0,28.0,,,,1,0,,1
1666,,,1,52.0,46.0,,,,1,0,,0
1667,2.0,,1,61.0,25.0,,,,1,0,,0
1668,2.0,,1,77.0,34.0,,,,2,0,,1
1669,,,1,66.0,22.0,,,,1,0,,0
1670,1.0,,1,47.0,36.0,,,,2,0,,0
1671,,1.0,1,28.0,26.0,37.0,35.0,9.0,1,1,209.39578036054007,0
1672,1.0,,1,29.0,28.0,,,,4,0,,0
1673,1.0,,1,30.0,28.0,,,,4,0,,0
1674,4.0,,1,75.0,34.0,,,,2,0,,1
1675,2.0,2.0,1,46.0,35.0,42.0,31.0,4.0,2,1,3408.8886293031064,0
1676,4.0,,1,76.0,38.0,63.0,40.0,2.0,2,1,,1
1677,2.0,,1,58.0,52.0,,,,2,0,,0
1678,1.0,,1,44.0,40.0,,,,2,0,,0
1679,1.0,,1,61.0,50.0,,,,2,0,,0
1680,,,1,56.0,42.0,,,,1,0,,0
1681,2.0,,1,49.0,25.0,,,,1,0,,0
1682,4.0,,1,50.0,22.0,,,,2,0,,1
1683,1.0,1.0,1,41.0,40.0,30.0,29.0,11.0,2,0,658.4378254417139,0
1684,2.0,,1,40.0,28.0,,,,2,0,,0
1685,2.0,2.0,1,49.0,26.0,48.0,25.0,1.0,2,0,0.0,1
1686,,,1,38.0,33.0,37.0,32.0,1.0,2,0,6419.598930659421,0
1687,,,1,59.0,45.0,48.0,34.0,11.0,1,0,437.8649469072441,1
1688,1.0,,1,54.0,35.0,,,,2,0,,0
1689,1.0,,1,38.0,28.0,,,,2,0,,0
1690,,,1,34.0,25.0,,,,1,0,,0
1691,3.0,,1,47.0,23.0,,,,4,0,,0
1692,,,1,33.0,30.0,,,,4,0,,0
1693,3.0,,1,44.0,31.0,,,,1,0,,0
1694,3.0,,1,41.0,32.0,37.0,28.0,4.0,1,0,17232.2078348302,0
1695,2.0,,1,47.0,39.0,,,,2,0,,1
1696,1.0,1.0,1,42.0,38.0,49.0,45.0,7.0,2,0,2069.251497367285,0
1697,,,1,50.0,30.0,,,,1,0,,0
1698,,2.0,1,32.0,22.0,38.0,28.0,6.0,2,0,,1
1699,,,1,41.0,35.0,,,,1,0,,1
1700,2.0,2.0,1,40.0,36.0,37.0,33.0,3.0,1,0,7932.368706685796,0
1701,1.0,1.0,1,33.0,27.0,40.0,34.0,7.0,1,0,8402.380410808712,0
1702,1.0,,1,33.0,28.0,,,,4,0,,0
1703,1.0,1.0,1,35.0,30.0,37.0,32.0,2.0,1,1,250.44730294345305,0
1704,3.0,3.0,1,73.0,22.0,48.0,20.0,2.0,2,1,6043.440649950029,0
1705,5.0,,1,68.0,28.0,,,,1,0,,1
1706,1.0,,1,92.0,41.0,,,,1,0,,1
1707,1.0,,1,40.0,38.0,,,,2,0,,0
1708,2.0,2.0,1,43.0,37.0,37.0,31.0,6.0,1,1,16874.025286638236,0
1709,,,0,29.0,27.0,,,,3,0,,0
1710,,,0,69.0,34.0,,,,1,0,,0
1711,,,0,70.0,26.0,,,,1,0,,0
1712,,,0,72.0,34.0,,,,3,0,,1
1713,,,0,84.0,22.0,,,,1,0,,1
1714,3.0,,0,76.0,22.0,,,,1,0,,1
1715,1.0,,0,100.0,,,,,1,0,,1
1716,2.0,,0,79.0,27.0,,,,1,0,,0
1717,,,0,42.0,,,,,1,0,,1
1718,1.0,,0,46.0,19.0,,,,1,0,,0
1719,,,0,72.0,27.0,,,,1,0,,0
1720,1.0,,0,86.0,18.0,,,,1,0,,0
1721,1.0,,0,28.0,25.0,,,,1,0,,0
1722,,,0,87.0,21.0,,,,1,0,,0
1723,,,0,67.0,20.0,,,,1,0,,1
1724,1.0,,0,74.0,30.0,,,,1,0,,1
1725,,,0,80.0,24.0,,,,1,0,,0
1726,3.0,3.0,0,69.0,38.0,66.0,35.0,3.0,1,0,959.1353365646144,0
1727,2.0,,0,38.0,30.0,,,,3,0,,0
1728,,,0,,,,,,1,0,,0
1729,,,0,,,,,,3,0,,0
1730,2.0,2.0,0,45.0,27.0,53.0,33.0,6.0,1,0,272.5526288442091,1
1731,4.0,,0,95.0,21.0,,,,3,0,,1
1732,,,0,,,53.0,36.0,,1,1,844.0251164575135,0
1733,,,0,88.0,29.0,,,,1,0,,0
1734,1.0,,0,40.0,28.0,,,,1,0,,0
1735,,,0,66.0,26.0,,,,1,0,,0
1736,2.0,,0,43.0,25.0,,,,1,0,7904.064459378661,1
1737,,1.0,0,77.0,34.0,80.0,37.0,3.0,3,0,0.0,0
1738,,,0,90.0,32.0,,,,1,0,,1
1739,,,0,31.0,29.0,,,,1,0,,0
1740,,,0,38.0,25.0,,,,3,0,,0
1741,,2.0,0,57.0,26.0,58.0,27.0,1.0,1,0,8862.85148961057,0
1742,,,0,45.0,28.0,,,,2,0,,1
1743,4.0,3.0,0,52.0,29.0,54.0,31.0,2.0,1,1,1915.8360651037008,1
1744,3.0,,0,43.0,31.0,,,,3,0,,0
1745,1.0,,0,73.0,22.0,,,,1,0,,1
1746,,,0,78.0,30.0,,,,1,0,,1
1747,2.0,2.0,0,,,62.0,34.0,,1,1,5570.242530860794,1
1748,2.0,,0,81.0,29.0,,,,3,0,,1
1749,3.0,,0,,,,,,2,0,,1
1750,,,0,88.0,25.0,,,,1,0,,1
1751,1.0,,0,36.0,31.0,,,,1,0,,0
1752,2.0,,0,,,,,,1,0,,0
1753,,,0,42.0,30.0,,,,1,0,,0
1754,,,0,63.0,39.0,,,,1,0,,0
1755,2.0,,0,70.0,25.0,71.0,45.0,20.0,1,0,3948.326619869109,1
1756,1.0,3.0,0,42.0,23.0,74.0,55.0,32.0,1,0,766.6482261591251,1
1757,,,0,84.0,26.0,,,,2,0,,1
1758,,,0,52.0,27.0,,,,1,0,,1
1759,1.0,,0,85.0,19.0,,,,1,0,,1
1760,,,0,43.0,38.0,50.0,45.0,7.0,3,0,,0
1761,,,0,69.0,21.0,,,,1,0,,1
1762,,,0,85.0,18.0,,,,2,0,,1
1763,1.0,,0,68.0,37.0,,,,1,0,,0
1764,,,0,50.0,37.0,,,,3,0,,0
1765,2.0,,0,53.0,30.0,,,,1,0,,1
1766,1.0,,0,84.0,36.0,,,,1,0,,0
1767,,,0,49.0,36.0,,,,1,0,,0
1768,4.0,4.0,0,69.0,22.0,73.0,26.0,4.0,3,0,990.0762773741236,0
1769,1.0,1.0,0,,,58.0,33.0,,1,0,3676.535841136751,0
1770,4.0,5.0,0,63.0,25.0,86.0,27.0,2.0,1,0,290.43623643774475,1
1771,,,0,,,,,,3,0,,0
1772,2.0,2.0,0,53.0,35.0,53.0,35.0,0.0,1,0,8770.991761185518,0
1773,,,0,68.0,53.0,58.0,43.0,10.0,3,0,1090.564203730809,0
1774,,,0,,,,,,3,0,,1
1775,,,0,81.0,31.0,,,,1,0,,1
1776,,,0,80.0,24.0,,,,1,0,,1
1777,1.0,,0,59.0,34.0,,,,3,0,,0
1778,,,0,,,,,,3,0,,1
1779,,,0,69.0,35.0,,,,1,0,,0
1780,1.0,1.0,0,49.0,33.0,52.0,36.0,3.0,3,0,7928.73197130977,0
1781,3.0,,0,88.0,18.0,,,,1,0,,1
1782,,,0,79.0,29.0,,,,1,0,,0
1783,,,0,53.0,27.0,,,,1,0,,0
1784,,,0,51.0,30.0,,,,1,0,,0
1785,,,0,,,,,,2,0,,0
