,Number_of_Children,Number_of_Children_Spouse,Sex,Age,Age_at_Marriage,Age_of_Spouse,Age_at_Marriage_Spouse,Age_Difference,Number_of_Roles,Spouse_is_Celebrity,Distance,Divorced
96,1.0,1.0,0,83.0,21.0,76.0,34.0,13.0,1,0,29.93231351680301,1
97,,3.0,0,,,,,,2,0,4271.807213020029,1
98,1.0,6.0,0,,,80.0,44.0,,2,1,15071.861432078778,1
99,,,0,82.0,28.0,,,,4,0,,0
100,,,0,46.0,29.0,,,,3,0,,1
101,,,0,37.0,33.0,50.0,42.0,9.0,3,1,556.869454176815,0
102,,4.0,0,90.0,32.0,88.0,38.0,6.0,2,0,6387.023246611488,1
103,1.0,3.0,0,52.0,41.0,51.0,40.0,1.0,2,0,9339.471481468676,1
104,,,0,75.0,22.0,,,,2,0,,1
105,2.0,2.0,0,40.0,29.0,35.0,24.0,5.0,2,1,800.8306721285846,0
106,2.0,,0,55.0,24.0,71.0,40.0,16.0,2,1,4092.662651916583,1
107,,,0,34.0,29.0,,,,1,0,,0
108,,,0,33.0,32.0,,,,2,0,,0
109,2.0,,0,56.0,27.0,,,,2,0,,1
110,4.0,,0,71.0,18.0,,,,2,0,,1
111,2.0,,0,76.0,25.0,,,,1,0,,0
112,4.0,4.0,0,45.0,26.0,,,,1,0,,0
113,1.0,,0,33.0,29.0,,,,2,0,,0
114,,,0,40.0,35.0,,,,1,0,,0
115,2.0,2.0,0,87.0,24.0,85.0,24.0,0.0,2,1,3924.250413047645,1
116,3.0,,0,85.0,30.0,67.0,50.0,20.0,2,0,1650.913111411929,1
117,1.0,1.0,0,43.0,31.0,47.0,35.0,4.0,3,1,41.726199082645344,1
118,,,0,79.0,40.0,,,,2,0,,0
119,3.0,,0,43.0,30.0,,,,1,0,,0
120,1.0,,0,27.0,22.0,,,,3,0,,0
121,,,0,31.0,16.0,,,,1,0,,1
122,4.0,,0,,,,,,1,0,,1
123,2.0,,0,58.0,24.0,,,,4,0,,0
124,1.0,,0,38.0,30.0,,,,1,0,,0
125,2.0,2.0,0,42.0,31.0,46.0,35.0,4.0,2,0,3408.8886293031064,0
126,2.0,,0,36.0,34.0,,,,1,0,,0
127,3.0,,0,46.0,32.0,,,,2,0,,1
128,3.0,1.0,0,58.0,23.0,64.0,26.0,3.0,2,1,6732.402667961284,1
129,2.0,,0,45.0,35.0,,,,1,0,,0
130,4.0,,0,83.0,21.0,,,,1,0,,1
131,,,0,33.0,27.0,,,,1,0,,0
132,2.0,,0,43.0,27.0,,,,2,0,,0
133,1.0,,0,75.0,20.0,,,,2,0,,1
134,,2.0,0,41.0,32.0,47.0,38.0,6.0,1,0,5651.369028645095,0
135,3.0,,0,37.0,30.0,,,,1,0,,0
136,1.0,,0,36.0,28.0,,,,1,0,,1
137,1.0,1.0,0,40.0,30.0,38.0,28.0,2.0,1,0,1155.769728143464,0
138,3.0,5.0,0,52.0,31.0,58.0,37.0,6.0,4,1,1175.655999238974,1
139,4.0,,0,45.0,32.0,,,,1,0,,0
140,3.0,,0,56.0,26.0,,,,2,0,,1
141,,,0,72.0,25.0,,,,2,0,,0
142,3.0,3.0,0,39.0,31.0,42.0,34.0,3.0,2,0,3513.814156867674,0
143,1.0,1.0,0,33.0,29.0,42.0,38.0,9.0,1,0,1817.638567340952,0
144,2.0,1.0,0,51.0,26.0,60.0,35.0,9.0,2,1,590.6629836017344,1
145,3.0,3.0,0,57.0,32.0,66.0,41.0,9.0,1,1,5886.611016774609,1
