Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Farrah Laurel Abraham,1991-05-31,"Omaha, Nebraska, U.S.[3]",,,,,,,,1,,,,,,,,,,F,musician
Pearl Abraham,,,,,,,,,,,,,,,,,,,,F,musician
Traci Hunter Abramson,,Arizona,,,,,,,,,,,,,,,,,,F,musician
Mimi Abramovitz,1941-01-01,,,,,,,,,,,,,,,,,,,F,musician
Abiola Wednesday Abrams,1976-07-29,,,,,,,,,,,,,,,,,,,F,musician
Rachel Decter,1951-01-02,,2013-06-07,,Elliott Abrams ​,1980-01-01,,1.0,0.0,,0.0,,,,,,,,,F,musician
Rosalie M. Gresser,1921-10-13,"Pittsburgh, Pennsylvania, United States[1]",2010-01-04,"Anaheim, California, United States",,,,,,,,,,,,,,,,F,musician
Stacey Abrams,,,,,,,,,,,,,,,,,,,,F,musician
Diana Abu-Jaber,,,,,,,,,,,,,,,,,,,,F,musician
Jessica Abughattas,,,,,,,,,,,,,,,,,,,,F,musician
Susan Abulhawa,,,,,,,,,,,,,,,,,,,,F,musician
Evelyne Accad,,,,,,,,,,,,,,,,,,,,F,musician
Millicent Borges Accardi,,,,,,,,,,,,,,,,,,,,F,musician
Elizabeth Acevedo,,,,,,,,,,,,,,,,,,,,F,musician
Martha Ackelsberg,1946-01-01,,,,,,,,,,,,,,,,,,,F,musician
Ally Acker,1954-08-17,"New York City, New York",,,,,,,,,,,,,,,,,,F,musician
Diane Ackerman,,,,,,,,,,,,,,,,,,,,F,musician
Karen Ackerman,,,,,,,,,,,,,,,,,,,,F,musician
Shelley Ackerman,,,,,,,,,,,,,,,,,,,,F,musician
Edith Ackermann,1946-01-01,Switzerland,2016-12-24,"Cambridge, Massachusetts",,,,,,,,,,,,,,,,F,musician
Paige Ackerson-Kiely,,,,,,,,,,,,,,,,,,,,F,musician
Danielle Ackley-McPhail,1970-01-01,,,,Mike McPhail,,,1.0,,,,,,,,1.0,,,Danielle Ackley-McPhail,F,musician
Martha Ackmann,,,,,,,,,,,,,,,,,,,,F,musician
Marta Acosta,,,,,,,,,,,,,,,,,,,,F,musician
Alma Flor Ada,,,,,,,,,,,,,,,,,,,,F,musician
Cherry Adair,,,,,,,,,,,,,,,,,,,,F,musician
Kathryn Elizabeth Hohn,1920-07-15,"New Ulm, Minnesota, U.S.",2016-10-14,"Mankato, Minnesota, U.S.[1][2]",Eugene Hugh Beaumont,1941-01-01,1974-01-01,2.0,1.0,3,1.0,1910-02-16,"Lawrence, Kansas, U.S.",1982-05-14,"Munich, West Germany",1.0,1.0,3,Kathryn Adams​ ​,F,musician
Alyssa Adkins,,,,,Edward Thomas Adams,1989-01-01,,1.0,0.0,,1.0,1933-06-12,"New Kensington, Pennsylvania, U.S.[1]",2004-09-19,"New York City, U.S.",2.0,1.0,4,Ann Fedorchak ​,F,musician
Amanda Adams,1976-09-12,,,,,,,,,,,,,,,,,,,F,musician
Cara Blue Adams,,,,,,,,,,,,,,,,,,,,F,musician
Carol J. Adams,1951-01-01,"New York, U.S.",,,Rev. Dr. Bruce Buchanan,,,1.0,,,,,,,,,,,,F,musician
Cindy Adams,1930-04-24,,,,Joseph Abramowitz,,,1.0,,,,1911-01-06,"Brooklyn, New York, U.S.",1999-12-02,"Manhattan, New York, U.S.",1.0,,,Cindy Adams,F,musician
Deborah Adams,,,,,,,,,,,,,,,,,,,,F,musician
Elizabeth Sparks Adams,1911-12-12,"Romeo, Michigan, U.S.",2007-01-01,,,,,,,,,,,,,,,,,F,musician
Janus Adams,1947-01-11,,,,,,,,,,,,,,,,,,,F,musician
Kylie Adams,,,,,,,,,,,,,,,,,,,,F,musician
Lavonne J. Adams,,,,,,,,,,,,,,,,,,,,F,musician
Lisa Bonchek Adams,,,,,,,,,,,,,,,,,,,,F,musician
Liz Duffy Adams,,,,,,,,,,,,,,,,,,,,F,musician
Lorraine Adams,,,,,,,,,,,,,,,,,,,,F,musician
Marilyn McCord,1943-10-12,"Oak Park, Illinois, US",2017-03-22,"Princeton, New Jersey, US",Robert Merrihew Adams ​ ​,1966-01-01,,1.0,0.0,,0.0,1937-09-08,"Philadelphia, Pennsylvania, U.S.",,,1.0,0.0,,Marilyn McCord Adams ​ ​,F,musician
Stephanie Adams,1970-07-24,"Orange, New Jersey, U.S.[1]",2018-05-18,"New York City, U.S.",Charles V. Nicholai​ ​,2010-01-01,2017-01-01,1.0,1.0,1,0.0,,,,,,,,,F,musician
Sunrise Adams,,,,,,,,,,,,,,,,,,,,F,musician
Joni Adamson,,,,,,,,,,,,,,,,,,,,F,musician
Lillian Perry Miller,1920-12-22,"Yonkers, New York, U.S.",2018-09-16,"Westport, Connecticut, U.S.",,,,,,,,,,,,,,,,F,musician
Betty Adcock,,,,,,,,,,,,,,,,,,,,F,musician
Lynsey Addario,1973-01-01,"Westport, Connecticut, USA",,,Paul de Bendern,,,1.0,,,,,,,,,,,,F,musician
Linda Addison ,1952-09-08,"Philadelphia, Pennsylvania, U.S.",,,,,,,,,,,,,,,,,,F,musician
Kim Addonizio[1],1954-07-31,"Washington, D.C., U.S",,,,,,,,Aya Cash,,,,,,,,,,F,musician
Tomi Adeyemi,,,,,,,,,,,,,,,,,,,,F,musician
Chimamanda Ngozi Adichie,,,,,,,,,,,,,,,,,,,,F,musician
Allison Beth Adler,1967-05-30,"Montreal, Quebec, Canada",,,,,,,,2,,,,,,,,,,F,musician
Dahlia Adler,,,,,,,,,,,,,,,,,,,,F,musician
Frances Payne Adler,1942-01-01,,,,,,,,,,,,,,,,,,,F,musician
Margaret Ann Adler,1942-02-10,"New York City, New York",,,Jeremy Abbott Walsh​ ​,1962-01-01,1968-01-01,2.0,2.0,,0.0,,,,,,,,,F,musician
Ruthelyn Rubin,1943-07-20,"Chicago, Illinois, United States",,,,,,,,,,,,,,,,,,F,musician
Renata Adler,,,,,,,,,,,,,,,,,,,,F,musician
Etel Adnan,,,,,,,,,,,,,,,,,,,,F,musician
Nancy Agabian,,,,,,,,,,,,,,,,,,,,F,musician
Christina Maria Agapakis,,,,,,,,,,,,,,,,,,,,F,musician
Jonis Agee,,,,,,,,,,,,,,,,,,,,F,musician
Deborah Ager,,,,,,,,,,,,,,,,,,,,F,musician
Vidhu Aggarwal,,,,,,,,,,,,,,,,,,,,F,musician
Annie M. Aggens,,,,,,,,,,,,,,,,,,,,F,musician
Kelli Russell Agodon,,,,,,,,,,,,,,,,,,,,F,musician
Julie Agoos,,,,,,,,,,,,,,,,,,,,F,musician
Marjorie Agosín,,,,,,,,,,,,,,,,,,,,F,musician
Mary Agria,,,,,,,,,,,,,,,,,,,,F,musician
Helen Aguirre Ferré,,,,,,,,,,,,,,,,,,,,F,musician
Ann Aguirre,,,,,,,,,,,,,,,,,,,,F,musician
Renée Ahdieh,,,,,,,,,,,,,,,,,,,,F,musician
Cynthia Ahearn,,,,,,,,,,,,,,,,,,,,F,musician
Ania Ahlborn,,"Ciechanów, Poland",,,,,,,,,,,,,,,,,,F,musician
Leeza Ahmady,1972-01-01,"Kabul, Afghanistan",,,,,,,,,,,,,,,,,,F,musician
Dilruba Ahmed,,,,,,,,,,,,,,,,,,,,F,musician
Samira Ahmed ,,,,,,,,,,,,,,,,,,,,F,musician
Pamela Aidan,,,,,,,,,,,,,,,,,,,,F,musician
Annette Aiello,1941-05-01,"New York City, New York, U.S.",,,,,,,,,,,,,,,,,,F,musician
Ginny Aiken,,,,,,,,,,,,,,,,,,,,F,musician
Shirikiana Aina,,,,,,,,,,,,,,,,,,,,F,musician
Maryan Ainsworth,,,,,,,,,,,,,,,,,,,,F,musician
Marsha Aizumi,,,,,,,,,,,,,,,,,,,,F,musician
Ifeoluwa Ajayi,1985-01-05,Nigeria,,,,,,,,,,,,,,,,,,F,musician
Ifeoma Yvonne Ajunwa,1980-10-26,Nigeria[1],,,,,,,,,,,,,,,,,,F,musician
Naki Akarobettoe,,,,,,,,,,,,,,,,,,,,F,musician
Ellery Akers,1946-01-01,,,,,,,,,,,,,,,,,,,F,musician
Desiree Akhavan,1984-12-27,"New York City, New York, U.S.",,,,,,,,,,,,,,,,,,F,musician
Mara Dionne Brock,1970-05-27,"Los Angeles, California, U.S.",,,Salim Akil ​,1999-01-01,,1.0,0.0,2,0.0,,"Oakland, California, U.S.",,,1.0,0.0,2,Mara Brock Akil ​,F,musician
Ellen Akins,,"South Bend, Indiana, U.S.",,,,,,,,,,,,,,,,,,F,musician
Lauren Gregory,1989-11-08,"Madison, Tennessee",,,Thomas Rhett ​,2012-01-01,,1.0,0.0,4,0.0,,,,,,,,,F,musician
Karen Akunowicz,1978-09-17,"Kearny, New Jersey, U.S.",,,,,,,,,,,,,,,,,,F,musician
Norma Alarcón,1943-11-30,"Villa Frontera, Coahuila, Mexico",,,,,,,,,,,,,,,,,,F,musician
Laila Alawa,1991-08-17,"Ishøj, Denmark",,,Afif Rahman,,,1.0,,,,,,,,,,,,F,musician
Tina Albanese,,,,,Patrick Francis Labyorteaux,1998-01-01,,1.0,0.0,1,0.0,1965-07-22,"Los Angeles, California, U.S.",,,1.0,0.0,1,Tina Albanese ​,F,musician
Laura Albert,,,,,,,,,,,,,,,,,,,,F,musician
Lisa Albert,,,,,,,,,,,,,,,,,,,,F,musician
Melissa Albert,,,,,,,,,,,,,,,,,,,,F,musician
Susan Wittig Albert,,,,,,,,,,,,,,,,,,,,F,musician
Becky Albertalli,,,,,,,,,,,,,,,,,,,,F,musician
Bethany Albertson,,,,,Josh,,,1.0,,1,,,,,,,,,,F,musician
Barbara Albright,,,,,,,,,,,,,,,,,,,,F,musician
Carol Bonomo,1938-01-01,"New York City, U.S.",,,,,,,,,,,,,,,,,,F,musician
Madeleine Albright,,,,,,,,,,,,,,,,,,,,F,musician
Eileen Albrizio,,,,,,,,,,,,,,,,,,,,F,musician
Kathleen Alcalá,1954-08-29,,,,,,,,,,,,,,,,,,,F,musician
Amanda Alcantara,,,,,,,,,,,,,,,,,,,,F,musician
Margarita Alcantara,,,,,,,,,,,,,,,,,,,,F,musician
Gaylon Alcaraz,1966-10-26,"Chicago, Illinois, US",,,,,,,,,,,,,,,,,,F,musician
Linda Martín Alcoff,,Panama,,,,,,,,,,,,,,,,,,F,musician
Sandra Alcosser,1944-02-03,"Washington, D.C., United States",,,,,,,,,,,,,,,,,,F,musician
Kathleen Alcott,1988-10-17,,,,,,,,,,,,,,,,,,,F,musician
Arlene Weiss,1933-03-12,"New York City, U.S.",,,Alphonso Joseph D'Abruzzo,1957-01-01,,1.0,0.0,"3, including Elizabeth and Beatrice",0.0,1936-01-28,"New York City, U.S.",,,1.0,0.0,"3, including Beatrice",Arlene Weiss ​,F,musician
Priscilla Kay Alden,1946-10-24,"Hutchinson, Kansas, US",,,,,,,,3,,,,,,,,,,F,musician
Linda Aldoory,,,,,,,,,,,,,,,,,,,,F,musician
Jann Aldredge,1946-01-01,"Abilene, Texas, US",,,David McPhail Clanton,,,1.0,,"Chad Aldredge Clanton and Brett McPhail Clanton and daughter-in-law Beth Lousteau;
grandchildren = Lyle Henry Clanton, Emmett Callahan Clanton, Paul McPhail Clanton",,,,,,,,,,F,musician
Elizabeth Aileen Aldrich,1947-02-26,"Appleton, Wisconsin",,,Brian Russell Olson ​,2006-01-01,,1.0,0.0,,0.0,,,,,,,,,F,musician
Marcia Aldrich,,,,,,,,,,,,,,,,,,,,F,musician
Delores P. Aldridge,,,,,,,,,,,,,,,,,,,,F,musician
Malin Alegria,,,,,,,,,,,,,,,,,,,,F,musician
Rochelle Alers,,,,,,,,,,,,,,,,,,,,F,musician
Adele Logan Alexander,1938-01-01,,,,,,,,,,,,,,,,,,,F,musician
Alma Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Caroline Alexander ,,,,,,,,,,,,,,,,,,,,F,musician
Devin Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Dolores Alexander,1931-08-10,"Newark, New Jersey, United States",2008-05-13,"Palm Harbor, Florida, United States",,,,,,,,,,,,,,,,F,musician
Elizabeth Alexander ,,,,,,,,,,,,,,,,,,,,F,musician
Maria Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Meena Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Pamela Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Rebecca Ann Alexander,1979-02-04,"Berkeley, California, U.S.",,,,,,,,,,,,,,,,,,F,musician
Sally Hobart Alexander,,"Owensboro, Kentucky",,,,,,,,,,,,,,,,,,F,musician
Sue Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Tasha Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Victoria Alexander,,,,,,,,,,,,,,,,,,,,F,musician
Kristin Kuhns Alexandre,,,,,,,,,,,,,,,,,,,,F,musician
Larisa Alexandrovna,1971-01-01,"Odesa, Ukraine",,,,,,,,,,,,,,,,,,F,musician
