Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Tania Tinoco,1963-08-02,"Machala, Ecuador",2022-05-21,US,,,,,,,,,,,,,,,,F,journalist
Zoila Ugarte de Landívar,,,,,,,,,,,,,,,,,,,,F,journalist
Cynthia Viteri,,,,,,,,,,,,,,,,,,,,F,journalist
Alicia Yánez Cossío,,,,,,,,,,,,,,,,,,,,F,journalist
Ghada Abdel Aal,,,,,,,,,,,,,,,,,,,,F,journalist
Mirna Abdulaal,,,,,,,,,,,,,,,,,,,,F,journalist
Noor Abdulmajeed,,,,,,,,,,,,,,,,,,,,F,journalist
Ateyyat El Abnoudy,1939-11-26,"Nile Delta, Egypt",2018-10-05,,Abdel-Rahman El Abnoudy,,,1.0,,,,,,,,,,,,F,journalist
Labiba Ahmad,,Cairo,1951-01-01,,,,,,,,,,,,,,,,,F,journalist
Nura Amin,,,,,,,,,,,,,,,,,,,,F,journalist
Shahira Amin,,,,,,,,,,,,,,,,,,,,F,journalist
Mayada Ashraf,1992-01-01,,2014-03-28,"Ain Shams, Cairo, Egypt",,,,,,,,,,,,,,,,F,journalist
Alexandra Avierino,,,,,,,,,,,,,,,,,,,,F,journalist
Fabyula Badawi,,,,,,,,,,,,,,,,,,,,F,journalist
Iqbal Baraka,1942-01-01,"Cairo, Egypt",,,,,,,,,,,,,,,,,,F,journalist
Farida El Choubachy,,,,,,,,,,,,,,,,,,,,F,journalist
Mona Eltahawy,,,,,,,,,,,,,,,,,,,,F,journalist
Phoebe Fawzy,,,,,,,,,,,,,,,,,,,,F,journalist
Asma Halim,,,,,,,,,,,,,,,,,,,,F,journalist
Nadia Hamza,1939-01-01,"Port Said, Cairo",,,,,,,,,,,,,,,,,,F,journalist
