Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Isabella Andreini,,,,,,,,,,,,,,,,,,,,F,playwrights
Sonia Antinori,,,,,,,,,,,,,,,,,,,,F,playwrights
Elena Balletti,1686-04-27,Ferrara,1771-12-29,Paris,Luigi Riccoboni,,,1.0,,Antoine-François Riccoboni,,,,,,,,,,F,playwrights
Francesca Bartellini,,,,,,,,,,,,,,,,,,,,F,playwrights
Edit Steinschreiber,1931-05-03,"Budapest, Hungary",,,Nelo Risi,,,1.0,,,,1920-04-21,"Milan, Italy",2015-09-17,"Rome, Italy",1.0,,,Edith Bruck,F,playwrights
Adele Cambria,,,,,,,,,,,,,,,,,,,,F,playwrights
Margherita Costa,,,,,,,,,,,,,,,,,,,,F,playwrights
Paola Tiziana Cruciani,1958-10-17,"Rome, Italy",,,,,,,,,,,,,,,,,,F,playwrights
Emma Dante,1967-04-06,"Palermo, Italy",,,,,,,,,,,,,,,,,,F,playwrights
Raffaella de' Sernigi,,,,,,,,,,,,,,,,,,,,F,playwrights
Grazia Deledda,,,,,,,,,,,,,,,,,,,,F,playwrights
Natalia Ginzburg,,,,,,,,,,,,,,,,,,,,F,playwrights
Idolina Landolfi,,,,,,,,,,,,,,,,,,,,F,playwrights
Simona Levi,1966-07-23,"Torino, Italy",,,,,,,,,,,,,,,,,,F,playwrights
Monica Maimone,1945-12-05,"Vedano Olona (Varese), Italy",,,,,,,,,,,,,,,,,,F,playwrights
Lina Mangiacapre,,,,,,,,,,,,,,,,,,,,F,playwrights
Dacia Maraini,,,,,,,,,,,,,,,,,,,,F,playwrights
Valeria Miani,,"Padua, Italy",,Unknown,Domenico Negri ​,,,1.0,1.0,"Isabetta, Isabella, Lucretia, Guilio, and Anzolo",0.0,,,,,,,,,F,playwrights
Beatrice Monroy,,,,,,,,,,,,,,,,,,,,F,playwrights
Valeria Parrella,,,,,,,,,,,,,,,,,,,,F,playwrights
Grazia Pierantoni-Mancini,,,,,,,,,,,,,,,,,,,,F,playwrights
Antonia Tanini Pulci,,,,,,,,,,,,,,,,,,,,F,playwrights
Franca Rame,,,,,,,,,,,,,,,,,,,,F,playwrights
Amelia Pincherle Rosselli,,,,,,,,,,,,,,,,,,,,F,playwrights
Diodata Saluzzo Roero,,,,,,,,,,,,,,,,,,,,F,playwrights
Maria Antonia Scalera Stellini,,,,,,,,,,,,,,,,,,,,F,playwrights
Barbara Joy Goodison,1935-02-05,"Malvern, Saint Elizabeth Parish, Jamaica",2022-05-11,"Kingston, Jamaica",Ancile Gloudon ​,1960-01-01,2022-01-01,1.0,1.0,3,0.0,,,,,,,,,F,playwrights
Cicely Waite-Smith,,,,,,,,,,,,,,,,,,,,F,playwrights
Sylvia Wynter,,,,,,,,,,,,,,,,,,,,F,playwrights
Ai Nagai,,,,,,,,,,,,,,,,,,,,F,playwrights
Fumiko Enchi,,,,,,,,,,,,,,,,,,,,F,playwrights
Hasegawa Shigure,,,,,,,,,,,,,,,,,,,,F,playwrights
Izumo no Okuni,,Izumo Province,,,,,,,,,,,,,,,,,,F,playwrights
Rio Kishida,1946-01-03,"Okaya, Nagano Prefecture, Japan",2003-06-28,"Okaya, Nagano Prefecture, Japan",,,,,,,,,,,,,,,,F,playwrights
Akimoto Matsuyo,,,,,,,,,,,,,,,,,,,,F,playwrights
Yukiko Motoya,1979-07-14,"Hakusan, Ishikawa, Japan",,,Kite Okachimachi,,,1.0,,,,,,,,,,,,F,playwrights
Shimako Murai,,,,,,,,,,,,,,,,,,,,F,playwrights
Megumu Sagisawa,,,,,,,,,,,,,,,,,,,,F,playwrights
Sumie Tanaka,,,,,,,,,,,,,,,,,,,,F,playwrights
Harue Tsutsumi,1950-01-01,"Osaka, Kansai region",,,,,,,,,,,,,,,,,,F,playwrights
Madeleine Micere Githae,1942-12-12,"Baricho, Kirinyaga District, Colony and Protectorate of Kenya",2023-06-30,"Syracuse, New York, United States",,,,,,"Mumbi Mugo, Njeri Mugo",,,,,,,,,,F,playwrights
Rebeka Njau,,,,,,,,,,,,,,,,,,,,F,playwrights
Aspazija,1865-03-16,"Zaļenieki parish, Russian Empire",1943-11-05,"Jūrmala, Ostland (Now Latvia)",Rainis,,,1.0,,,,,,,,,,,,F,playwrights
Eugenie Hirschberg-Pucher,,,,,,,,,,,,,,,,,,,,F,playwrights
Velga Krile,,,,,,,,,,,,,,,,,,,,F,playwrights
Margarita Perveņecka,,,,,,,,,,,,,,,,,,,,F,playwrights
Lelde Stumbre,1952-01-30,"Auce, Latvia",,,,,,,,,,,,,,,,,,F,playwrights
Dalia Ibelhauptaitė,1967-05-04,"Vilnius, Lithuania",,,Dexter Fletcher ​,1997-01-01,,1.0,0.0,,0.0,1966-01-31,"Enfield, Greater London, England",,,1.0,0.0,,Dalia Ibelhauptaitė ​,F,playwrights
Sofija Kymantaitė,1886-03-13,"Joniškis, Kovno Governorate, Russian Empire",1958-12-01,"Kaunas, Lithuanian SSR",Mikalojus Konstantinas Čiurlionis,,,1.0,,Danutė Čiurlionytė-Zubovienė ,,1875-01-01,"Senoji Varėna, Vilna Governorate, Russian Empire (now Lithuania)",1911-01-01,"Marki, Congress Poland, Russian Empire (now Poland)",1.0,,,Sofija Kymantaitė-Čiurlionienė,F,playwrights
Nathalie Ronvaux,,,,,,,,,,,,,,,,,,,,F,playwrights
Nora Wagener,,,,,,,,,,,,,,,,,,,,F,playwrights
Rani Moorthy,,,,,,,,,,,,,,,,,,,,F,playwrights
Dina Zaman,,,,,,,,,,,,,,,,,,,,F,playwrights
Aïcha Fofana,,,,,,,,,,,,,,,,,,,,F,playwrights
Angélica Claro Canteros,1938-07-07,"Bahía Blanca, Argentina",,,,,,,,,,,,,,,,,,F,playwrights
Socorro Avelar,1925-01-01,"Cuernavaca, Morelos, Mexico",2003-02-11,,,,,,,,,,,,,,,,,F,playwrights
Sabina Berman,,,,,,,,,,,,,,,,,,,,F,playwrights
Carmen Boullosa,1954-09-04,"Mexico City, Mexico",,,Mike Wallace,,,1.0,,"2, including María Aura",,1942-07-22,"New York City, New York, U.S.",,,1.0,0.0,,Carmen Boullosa ​,F,playwrights
Nancy Cárdenas,,,,,,,,,,,,,,,,,,,,F,playwrights
Rosina Conde,,,,,,,,,,,,,,,,,,,,F,playwrights
Mireya Cueto,1922-02-03,"Mexico City, Mexico",2013-04-26,,,,,,,,,,,,,,,,,F,playwrights
Damaris Disner,,,,,,,,,,,,,,,,,,,,F,playwrights
Ximena Escalante,,,,,,,,,,,,,,,,,,,,F,playwrights
Elena Garro,1916-12-11,"Puebla, Mexico",1998-07-22,,Octavio Paz,,,1.0,,,,,,,,,,,,F,playwrights
Olga Harmony,1928-04-23,"Mexico City, Mexico",2018-11-11,"Mexico City, Mexico",,,,,,,,,,,,,,,,F,playwrights
María Luisa Ocampo Heredia,,,,,,,,,,,,,,,,,,,,F,playwrights
Malú Huacuja del Toro,,,,,,,,,,,,,,,,,,,,F,playwrights
Juana Inés de la Cruz,,,,,,,,,,,,,,,,,,,,F,playwrights
Elvira Nosari,,,,,,,,,,,,,,,,,,,,F,playwrights
Amaranta Osorio Cepeda,,,,,,,,,,,,,,,,,,,,F,playwrights
Isabel Ángela Prieto González Bango,1833-03-01,"Alcázar de San Juan, Spain",1876-09-28,"Hamburg, Germany",Pedro Landázuri Diez,,,1.0,,,,,,,,,,,,F,playwrights
