Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Anjeza Shahini,,,,,,,,,,,,,,,,,,,,F,singer
Rezarta Smaja,,,,,,,,,,,,,,,,,,,,F,singer
Rovena Stefa,,,,,,,,,,,,,,,,,,,,F,singer
Eneda Tarifa,,,,,,,,,,,,,,,,,,,,F,singer
Doruntina Shala,1996-12-14,"Prizren,  FR Yugoslavia (present-day Kosovo)",,,,,,,,,,,,,,,,,,F,singer
Adelina Thaçi,,,,,,,,,,,,,,,,,,,,F,singer
Kejsi Tola,1992-05-03,"Vlore, Albania",,,,,,,,,,,,,,,,,,F,singer
Tuna ,,,,,,,,,,,,,,,,,,,,F,singer
Alketa Vejsiu,1984-01-19,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,singer
Luana Vjollca,1991-09-02,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,singer
Vaçe Zela,1939-04-07,"Lushnjë, Albanian Kingdom",2014-02-06,"Basel, Switzerland",Pjetër Rodiqi,,,1.0,,1,,,,,,,,,,F,singer
Dafina Zeqiri,1989-04-14,"Varberg, Sweden",,,,,,,,,,,,,,,,,,F,singer
Naïma Ababsa,1963-01-01,"Tlemcen, Algeria",2021-04-18,"Algiers, Algeria",,,,,,,,,,,,,,,,F,singer
Houria Aïchi,,,,,,,,,,,,,,,,,,,,F,singer
Meriem Beldi,,,,,,,,,,,,,,,,,,,,F,singer
Biyouna,,,,,,,,,,,,,,,,,,,,F,singer
Amel Bouchoucha,1982-07-24,"Oran, Algeria",,,Waleed Awada ​,2015-01-01,,1.0,0.0,1,0.0,,,,,,,,,F,singer
Fella Abd al-Hamid Ababsaفلة عبد الحميد عبابسة,1961-04-23,"Saint Denis, France",,,,,,,,,,,,,,,,,,F,singer
Souad Massi,,,,,,,,,,,,,,,,,,,,F,singer
Raja Meziane,,,,,,,,,,,,,,,,,,,,F,singer
Yasmine Nayar,,,,,,,,,,,,,,,,,,,,F,singer
Cheikha Rabia,,,,,,,,,,,,,,,,,,,,F,singer
Cheikha Rimitti,,,,,,,,,,,,,,,,,,,,F,singer
Samira Brahmia,,,,,,,,,,,,,,,,,,,,F,singer
Warda Al-Jazairia,,,,,,,,,,,,,,,,,,,,F,singer
Zaho,,,,,,,,,,,,,,,,,,,,F,singer
Cheba Zahouania,,,,,,,,,,,,,,,,,,,,F,singer
070 Shake,,,,,,,,,,,,,,,,,,,,F,singer
Paula Julie Abdul,1962-06-19,"San Fernando, California, U.S.",,,Emilio Estevez​ ​,1992-01-01,1994-01-01,2.0,2.0,,0.0,1962-05-12,"New York City, U.S.",,,1.0,1.0,2,Paula Abdul​ ​,F,singer
Abi ,,,,,,,,,,,,,,,,,,,,F,singer
Loretta G. Ables,,"Stockton, California, U.S.",,,David Sayre,,,1.0,,,,,,,,,,,,F,singer
Abra ,,,,,,,,,,,,,,,,,,,,F,singer
Farrah Laurel Abraham,1991-05-31,"Omaha, Nebraska, U.S.[3]",,,,,,,,1,,,,,,,,,,F,singer
Gracie Madigan Abrams[1],1999-09-07,"Los Angeles, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Ariel Abshire,,,,,,,,,,,,,,,,,,,,F,singer
Loni Ackerman,1949-04-10,"New York City, U.S.",,,Steve Canyon Kennedy​ ​,1983-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,singer
Allegra Acosta,2002-12-12,"El Paso, Texas, U.S.",,,,,,,,,,,,,,,,,,F,singer
Victoria Acosta,,,,,,,,,,,,,,,,,,,,F,singer
Ruth Acuff,,,,,,,,,,,,,,,,,,,,F,singer
Alberta Adams,,,,,,,,,,,,,,,,,,,,F,singer
Amy Lou Adams,1974-08-20,"Aviano, Italy",,,Darren Le Gallo ​,2015-01-01,,1.0,0.0,1,0.0,,,,,,,,,F,singer
Faye Adams,,,,,,,,,,,,,,,,,,,,F,singer
Gayle Adams,,,,,,,,,,,,,,,,,,,,F,singer
India Adams,1927-03-05,"Los Angeles, California, U.S.",2020-04-25,"Los Angeles, California, U.S.",,,,,,2,,,,,,,,,,F,singer
Kay Adams ,,,,,,,,,,,,,,,,,,,,F,singer
Kristin Nicole Holt,,"Plano, Texas, US",,,Daniel Adams ​,2008-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,singer
Adassa,,,,,,,,,,,,,,,,,,,,F,singer
Pearl Maria Edmonds,1975-01-01,,,,Scott Ian,,,1.0,,1,,,,,,,,,,F,singer
Titilayo Rachel Adedokun,1973-01-01,"Nashville, Tennessee, U.S.",,,Ruediger Helm,,,1.0,,3,,,,,,,,,,F,singer
Adeva,,,,,,,,,,,,,,,,,,,,F,singer
Shola Adisa-Farrar,,,,,,,,,,,,,,,,,,,,F,singer
Gaelle Adisson,,,,,,,,,,,,,,,,,,,,F,singer
Aesja,,,,,,,,,,,,,,,,,,,,F,singer
Arianna Ayesha Afsar,1991-10-22,"San Diego, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Tawatha Agee,,,,,,,,,,,,,,,,,,,,F,singer
Dianna Elise Agron,1986-04-30,"Savannah, Georgia, U.S.",,,Winston Aubrey Aladar deBalkan Marshall,2016-01-01,2020-01-01,1.0,1.0,,0.0,1987-12-20,"Wandsworth, London, England",,,1.0,1.0,,Dianna Agron​ ​,F,singer
Ángela Aguilar Álvarez Alcalá,2003-10-08,"Los Angeles, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Sharon Aguilar,,,,,,,,,,,,,,,,,,,,F,singer
Christina María Aguilera,1980-12-18,"New York City, New York, US",,,Jordan Bratman​ ​,2005-01-01,2011-01-01,1.0,1.0,2,0.0,,,,,,,,,F,singer
Priscilla Ahn,,,,,,,,,,,,,,,,,,,,F,singer
Ai Carina Uemura,1981-11-02,"Los Angeles, California, United States",,,Hiro ​,2014-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,singer
Josie Aiello,,,,,,,,,,,,,,,,,,,,F,singer
Caroline Aiken,,,,,,,,,,,,,,,,,,,,F,singer
Crystal Aikin,,,,,,,,,,,,,,,,,,,,F,singer
Ailee,,,,,,,,,,,,,,,,,,,,F,singer
Anna Kay Napualani Akana,1989-08-18,"Monterey County, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Karen Orth-Pallavicini,1945-10-13,"New York City, U.S.",,,Jim Akers,1993-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,singer
Akino ,,,,,,,,,,,,,,,,,,,,F,singer
Julien Aklei,,,,,,,,,,,,,,,,,,,,F,singer
Carrie Akre,,,,,,,,,,,,,,,,,,,,F,singer
Lauren Alaina,,,,,,,,,,,,,,,,,,,,F,singer
Kianna Alarid,,"Omaha, Nebraska, U.S.",,,,,,,,,,,,,,,,,,F,singer
Hanan Alattar,,"Houston, Texas, U.S.",,,,,,,,,,,,,,,,,,F,singer
Kristen DeAnn Alderson,1991-05-29,"Huntingdon Valley, Pennsylvania, U.S.[1]",,,,,,,,,,,,,,,,,,F,singer
Kate Aldrich,1973-10-31,"Damariscotta, Maine",,,,,,,,,,,,,,,,,,F,singer
Ruby Rose Aldridge,1991-08-26,"Los Angeles, California, U.S.A.",,,,,,,,,,,,,,,,,,F,singer
Liset Alea,,,,,,,,,,,,,,,,,,,,F,singer
Alyona Alekhina,,,,,,,,,,,,,,,,,,,,F,singer
Mary Alessi,,,,,,,,,,,,,,,,,,,,F,singer
AleXa,,,,,,,,,,,,,,,,,,,,F,singer
Thana Alexa,,,,,,,,,,,,,,,,,,,,F,singer
Daniele Alexander,,,,,,,,,,,,,,,,,,,,F,singer
Jessi Alexander,,,,,,,,,,,,,,,,,,,,F,singer
Stevvi Alexander,,,,,,,,,,,,,,,,,,,,F,singer
Algebra ,,,,,,,,,,,,,,,,,,,,F,singer
Nadia Ali ,,,,,,,,,,,,,,,,,,,,F,singer
Tatyana Marisol Ali,1979-01-24,"North Bellmore, New York, U.S.",,,Vaughn Rasberry ​,2016-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,singer
Alisha ,,,,,,,,,,,,,,,,,,,,F,singer
Aimee Allen,1979-02-02,"Montana, U.S.",,,Kevin Bivona[1],,,1.0,,,,,,,,,,,,F,singer
Jackie Allen ,,,,,,,,,,,,,,,,,,,,F,singer
Jasmine Ann Allen,1985-09-01,,,,,,,,,,,,,,,,,,,F,singer
Lexi Allen,,,,,,,,,,,,,,,,,,,,F,singer
Ruth Allen ,,,,,,,,,,,,,,,,,,,,F,singer
Sasha Allen,,,,,,,,,,,,,,,,,,,,F,singer
Brooke Allison,,,,,,,,,,,,,,,,,,,,F,singer
Andy Allo,,,,,,,,,,,,,,,,,,,,F,singer
Loren Allred,,,,,,,,,,,,,,,,,,,,F,singer
Karrin Allyson,,,,,,,,,,,,,,,,,,,,F,singer
María Concepción Alonso Bustillo,1957-06-29,"Cienfuegos, Cuba",,,,,,,,,,,,,,,,,,F,singer
Kai Altair,,,,,,,,,,,,,,,,,,,,F,singer
Alus ,,,,,,,,,,,,,,,,,,,,F,singer
Angela Alvarez,,,,,,,,,,,,,,,,,,,,F,singer
Tiffany Alvord,,,,,,,,,,,,,,,,,,,,F,singer
Aly & AJ,,,,,,,,,,,,,,,,,,,,F,singer
Alyson ,,,,,,,,,,,,,,,,,,,,F,singer
Willa Amai,,,,,,,,,,,,,,,,,,,,F,singer
AmaLee,,,,,,,,,,,,,,,,,,,,F,singer
Melanie Amaro,,,,,,,,,,,,,,,,,,,,F,singer
Amerie,,,,,,,,,,,,,,,,,,,,F,singer
Tori Amos,,,,,,,,,,,,,,,,,,,,F,singer
Merrie Amsterburg,,,,,,,,,,,,,,,,,,,,F,singer
Ana ,,,,,,,,,,,,,,,,,,,,F,singer
Ana Victoria,,,,,,,,,,,,,,,,,,,,F,singer
Suzi Analogue,,,,,,,,,,,,,,,,,,,,F,singer
Anastacia,,,,,,,,,,,,,,,,,,,,F,singer
Beth Andersen,,,,,,,,,,,,,,,,,,,,F,singer
Abby Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Brett Anderson ,,,,,,,,,,,,,,,,,,,,F,singer
Carleen Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Erika M. Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Jamie Anderson ,,"Tucson, Arizona, United States",,,,,,,,,,,,,,,,,,F,singer
Jessa Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Laurie Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Lyrica Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Robyn Adele Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Sunshine Anderson,,,,,,,,,,,,,,,,,,,,F,singer
Theresa Andersson,,,,,,,,,,,,,,,,,,,,F,singer
Lauren Andino,,,,,,,,,,,,,,,,,,,,F,singer
Leah Andreone,,,,,,,,,,,,,,,,,,,,F,singer
Ingrid Andress,,,,,,,,,,,,,,,,,,,,F,singer
Courtney Marie Andrews,,,,,,,,,,,,,,,,,,,,F,singer
Inez Andrews,,,,,,,,,,,,,,,,,,,,F,singer
Jessica Andrews,,,,,,,,,,,,,,,,,,,,F,singer
Jill Andrews,,,,,,,,,,,,,,,,,,,,F,singer
Meghan Andrews,1979-01-01,"New York City, U.S.",,,,,,,,,,,,,,,,,,F,singer
Meredith Andrews,,,,,,,,,,,,,,,,,,,,F,singer
Chiara Angelicola,,,,,,,,,,,,,,,,,,,,F,singer
Chloe Angelides,,,,,,,,,,,,,,,,,,,,F,singer
Angelina ,,,,,,,,,,,,,,,,,,,,F,singer
Lisa Angelle,,,,,,,,,,,,,,,,,,,,F,singer
Ronia Tamar Goldberg,1950-10-02,"Chmielnik, Republic of Poland",,,,,,,,,,,,,,,,,,F,singer
Layla Angulo,,,,,,,,,,,,,,,,,,,,F,singer
Ánh Minh,,,,,,,,,,,,,,,,,,,,F,singer
Anhayla,1988-05-24,"Norfolk, Virginia, U.S.",,,,,,,,,,,,,,,,,,F,singer
Anisha Nicole,,,,,,,,,,,,,,,,,,,,F,singer
Anna ,,,,,,,,,,,,,,,,,,,,F,singer
Brooke Annibale,,,,,,,,,,,,,,,,,,,,F,singer
Anita Antoinette,,,,,,,,,,,,,,,,,,,,F,singer
Susan Ellen Anton,,,,,Jack Stein​ ​,1975-01-01,1980-01-01,2.0,1.0,,0.0,,,,,,,,,F,singer
